Чек-лист №1 (Опрос),,,,,,,,,,,,,,,,,
№,Проверка,,,,,,,,,,,,,,Ожидаемый Результат,P/F,Ссылка на Баг
1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""",,,,,,,,,,,,,,"Система отображает:
- Заголовок: Опрос: вакцинация – за и против
- 0% ПРОЙДЕНО
- Текст с приветствием и инстркциями
- гиппер ссылки: правилами обработки персональных данных и политикой конфиденциальности
- Активная кнопка ""Начать""",P,
,1.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,,,,,,,Главная страница Инвитро,P,
,1.2,"Нажать на кнопку ""Начать""",,,,,,,,,,,,,"Система отображает: 
- Первая страница Опроса
- 0% ПРОЙДЕНО
- Неактивная кнопка ""Далее""",P,
,,1.2.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,,,,,,Главная страница Инвитро,F,ЧЛ-1-Б-1
,,1.2.2,"Нажать ""Назад"" в браузере. (х2)",,,,,,,,,,,,Главная страница Инвитро,P,
,,,1.2.2.1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""/ Нажать ""Вперед"" в браузере. (х1)",,,,,,,,,,,"Система отображает: 
- Первая страница Опроса
- 0% ПРОЙДЕНО
- Неактивная кнопка ""Далее""",P,
,,1.2.3,Заполнить ответы на вопросы на первой странице опроса (минимально: во всех обязательных вопросах по одному варианту),,,,,,,,,,,,"Система отображает: 
- Первая страница Опроса
- Выбранные Пользователем ответы
-  77% ПРОЙДЕНО
- Активная кнопка ""Далее""
- Система фиксирует внесенные Пользователем ответы",P,
,,,1.2.3.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,,,,,Главная страница Инвитро,P,
,,,,1.2.3.1.1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""/ Нажать ""Вперед"" в браузере. (х1)",,,,,,,,,,"Система отображает: 
- Первая страница опроса
- Зафиксированные ответы, внесенные Пользователем
- 77% ПРОЙДЕНО
- Активная кнопка ""Далее""",F,ЧЛ-1-Б-2
,,,1.2.3.2,"Нажать на кнопку ""Далее""",,,,,,,,,,,"Система отображает: 
- Вторая страница Опроса
- 77% ПРОЙДЕНО
- Неактивная кнопка ""Завершить""",P,
,,,,1.2.3.2.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,,,,"Система открывает окно: ""Подтвердите повторную отправку формы"" и иструкцию",P,
,,,,,1.2.3.2.1.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,,,Главная страница Инвитро,F,ЧЛ-1-Б-3
,,,,,,1.2.3.2.1.1.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,,Главная страница Инвитро,P,
,,,,,,,1.2.3.2.1.1.1.1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""/ Нажать ""Вперед"" в браузере. (х1)",,,,,,,"Система отображает: 
- Первая страница опроса
- Зафиксированные ответы, внесенные Пользователем
- 77% ПРОЙДЕНО
- Активная кнопка ""Далее""",F,ЧЛ-1-Б-4
,,,,,1.2.3.2.1.2,"Нажать ""Обновить"" в браузере. (х1)",,,,,,,,,"Сситема отображает:
- Дополнительное окно Подтверждения повторной отправки формы
- Активные кнопки ""Продолжть"" и ""Отмена""",P,
,,,,,,1.2.3.2.1.2.1,"Нажать ""Продолжить""",,,,,,,,"Система отображает: 
- Первая страница опроса
- Зафиксированные ответы, внесенные Пользователем
- 77% ПРОЙДЕНО
- Активная кнопка ""Далее""",F,ЧЛ-1-Б-5
,,,,,,,1.2.3.2.1.2.1.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,Главная страница Инвитро,P,
,,,,,,,,1.2.3.2.1.2.1.1.1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""/ Нажать ""Вперед"" в браузере. (х1)",,,,,,"Система отображает: 
- Первая страница опроса
- Зафиксированные ответы, внесенные Пользователем
- 77% ПРОЙДЕНО
- Активная кнопка ""Далее""",F,ЧЛ-1-Б-6
,,,,,,1.2.3.2.1.2.2,"Нажать ""Отмена""",,,,,,,,Главная страница Инвитро,P,
,,,,,,,1.2.3.2.1.2.2.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,,Главная страница Инвитро,P,
,,,,,,,,1.2.3.2.1.2.2.1.1,"Нажать ""Назад"" в браузере. (х1)",,,,,,Главная страница Инвитро,P,
,,,,,,,,,1.2.3.2.1.2.2.1.1.1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""/ Нажать ""Вперед"" в браузере. (х1)",,,,,"Система отображает:
- Заголовок: Опрос: вакцинация – за и против
- 0% ПРОЙДЕНО
- Текст с приветствием и инстркциями
- гиппер ссылки: правилами обработки персональных данных и политикой конфиденциальности
- Активная кнопка ""Начать""",F,ЧЛ-1-Б-7
,,,,,,,,,,1.2.3.2.1.2.2.1.1.1.1,Заполнить ответы на вопросы на второй странице опроса (минимально: во всех обязательных вопросах по одному варианту),,,,"Система отображает: 
- Вторая страница Опроса
- Выбранные Пользователем ответы
- 100% ПРОЙДЕНО
- Активная кнопка ""Завершить""
- Система фиксирует внесенные Пользователем ответы",P,
,,,,,,,,,,,1.2.3.2.1.2.2.1.1.1.1.1,"Нажать ""Назад"" в браузере. (х1)",,,"Система открывает окно: ""Подтвердите повторную отправку формы"" и иструкцию",F,ЧЛ-1-Б-8
,,,,,,,,,,,,1.2.3.2.1.2.2.1.1.1.1.1.1,"Нажать на кнопку ""Опрос: что думаете о вакцинации?""/ Нажать ""Вперед"" в браузере. (х1)",,"Система отображает: 
- Вторая страница опроса
- Зафиксированные ответы, внесенные Пользователем
- 100% ПРОЙДЕНО
- Активная кнопка ""Завершить""",F,ЧЛ-1-Б-9
,,,,,,,,,,,1.2.3.2.1.2.2.1.1.1.1.2,"Нажать на кнопку ""Завершить""",,,Система отображает текст с благодарность о прохождении опроса на 100%,P,
,,,,,,,,,,,,"1.2.3.2.1.2.2.1.1.1.1.2.1,","Нажать ""Назад"" в браузере. (х1)",,"Система открывает окно: ""Подтвердите повторную отправку формы"" и иструкцию",P,
,,,,,,,,,,,,,1.2.3.2.1.2.2.1.1.1.1.2.1.1,"Нажать ""Назад"" в браузере. (х1)",Главная страница Инвитро,P,